pub_date,title,venue,excerpt,citation,url_slug,paper_url,slides_url,category
2025-01-01,The winter depression: Coal heating and mental health in China,Journal of Population Economics,This paper examines the effect of coal heating on mental health in China.,"Shen Y, Sun W. (2025). The winter depression: Coal heating and mental health in China. <i>Journal of Population Economics</i>, 38(1), 8.",winter-depression-coal-heating,https://doi.org/10.1007/s00148-025-01062-x,,manuscripts
2023-12-01,Living with particles: Disclosure of pollution information individual responses and health consequences,Journal of Health Economics,This paper studies how pollution information disclosure affects individual behavior and health.,"Shi X, Shen Y, Song R. (2023). Living with particles: Disclosure of pollution information, individual responses, and health consequences. <i>Journal of Health Economics</i>, 92, 102824.",living-with-particles,https://doi.org/10.1016/j.jhealeco.2023.102824,,manuscripts
2023-07-01,The effect of low-carbon city pilot on energy consumption behavior: Evidence from China,Energy Economics,This paper evaluates the impact of low-carbon city pilots on household energy consumption.,"Shen Y, Sun W. (2023). The effect of low-carbon city pilot on energy consumption behavior: Evidence from China. <i>Energy Economics</i>, 127, 107047.",low-carbon-city-energy,,,manuscripts
2023-12-01,Information and avoidance behaviour: the Effect of air pollution disclosure on labour supply in China,International Labour Review,This paper examines how air pollution information disclosure affects labor supply decisions.,"Shen Y, Sun W. (2023). Information and avoidance behaviour: the Effect of air pollution disclosure on labour supply in China. <i>International Labour Review</i>, 162(4), 665-686.",air-pollution-labour-supply,,,manuscripts
2020-07-01,污染信息公开如何影响健康消费决策,世界经济,本文研究污染信息公开对健康消费决策的影响。,"沈煜, 孙文凯. (2020). 污染信息公开如何影响健康消费决策. <i>世界经济</i>, 2020年第7期.",pollution-information-health,,,manuscripts
2024-12-01,Maternity leave reform and women's labor supply: Evidence from China,China Economic Review,This paper analyzes the impact of maternity leave reform on women's labor supply.,"Shen Y, Qie X, Bi Q. (2024). Maternity leave reform and women's labor supply: Evidence from China. <i>China Economic Review</i>, 87, 102256.",maternity-leave-womens-labor,https://doi.org/10.1016/j.chieco.2024.102256,,manuscripts
2023-12-01,Mental health penalties of having a child: findings from the China family panel studies,npj Mental Health Research,This paper investigates the mental health effects of parenthood using longitudinal data.,"Shi X, Shen Y. (2023). Mental health penalties of having a child: findings from the China family panel studies. <i>npj Mental Health Research</i>, 2(1), 7.",mental-health-child-penalty,,,manuscripts
2023-06-01,女性受教育程度与代际居住模式,南开经济研究,本文研究女性受教育程度如何影响家庭居住安排。,"沈煜, 孙文凯. (2023). 女性受教育程度与代际居住模式. <i>南开经济研究</i>, 2023年第6期.",womens-education-residence,,,manuscripts
2024-01-01,Mental health professional training for teachers and student outcomes: Quasi-experimental evidence from Chinese middle schools,Applied Economics Letters,This paper evaluates the effect of mental health training for teachers on student outcomes.,"Chen B, Shen Y, Zhao C. (2024). Mental health professional training for teachers and student outcomes: Quasi-experimental evidence from Chinese middle schools. <i>Applied Economics Letters</i>, 1-7.",mental-health-teacher-training,,,manuscripts
2023-04-01,From villages to urban neighborhoods: Urbanization and health,China & World Economy,This paper examines the health impacts of urbanization in China.,"Shen Y, Sun W. (2023). From villages to urban neighborhoods: Urbanization and health. <i>China & World Economy</i>, 31(2), 137-158.",urbanization-health,,,manuscripts
2023-04-01,高校扩招过度教育与职业陷阱,财贸经济,本文研究高校扩招导致的过度教育问题及其职业影响。,"沈煜, 孙文凯, 谷宇晴. (2023). 高校扩招, 过度教育与职业陷阱. <i>财贸经济</i>, 2023年第4期.",university-expansion-education,,,manuscripts
